Ticker	Company	Layer	Force	Allocation	Position_Size	Entry_Price	Entry_Date	Entry_DM	Current_Price	Current_DM	Target_Price	P&L_$	P&L_%	Target_P&L_%	Status	Thesis	Exit_Reason	Exit_Date	Entry_Count	T3_Count	Days_Held
CRM	Salesforce	TOOLS	AI_TRANSFORMATION	10.0%	$100,000	193.45	2/10/2026	30.15	187.11	15.32		3277.332644	0.03277332644		ACTIVE	Agentforce is bolt-on, not native					
ADBE	Adobe	TOOLS	AI_TRANSFORMATION	8.0%	$80,000	264.67	2/10/2026	40.37	247.18	30.27		5286.583292	0.06608229116		ACTIVE	Firefly defensive, not transformative					
NOW	ServiceNow	TOOLS	AI_TRANSFORMATION	6.0%	$60,000	106.48	2/10/2026	25.2	113.27	67.63		-3826.070624	-0.06376784373		CLOSED	IT workflow agents replace platform					
WDAY	Workday	TOOLS	AI_TRANSFORMATION	5.0%	$50,000	153.23	2/10/2026	28.02	129.16	11.45		7854.206095	0.1570841219		ACTIVE	HR/Finance decisions automated					
ACN	Accenture	SERVICES	AI_TRANSFORMATION	6.0%	$60,000	240.86	2/10/2026	47.9	197.3	47.2		10851.11683	0.1808519472		CLOSED	Implementation layer disappears					
OMC	Omnicom	ADVERTISING	AI_TRANSFORMATION	5.0%	$50,000	73.06	2/10/2026	14.34	83.26	30.19		-6980.56392	-0.1396112784		CLOSED	Closed 2026-02-20 — DM escaped 30.2, Advertising bypass lost coherence, -14.0%".					
LPLA	LPL Financial	WEALTH_MGMT	FINANCIALS	8.0%	$80,000	360.58	2/10/2026	50	312.53	50.38		10660.60236	0.1332575295		CLOSED	Altruist Hazel automates tax planning	T2_PHASE_CONFIRM	2026-04-11		0	
SCHW	Schwab	WEALTH_MGMT	FINANCIALS	6.0%	$60,000	99.25	2/10/2026	75.6	93.34	49.14		3572.79597	0.0595465995		CLOSED	AI disrupts retail brokerage					
RJF	Raymond James	WEALTH_MGMT	FINANCIALS	5.0%	$50,000	158.48	2/10/2026	59.17	155.77	47.57		854.997476	0.01709994952		CLOSED	Wealth management AI bypass	T2_PHASE_CONFIRM	2026-04-16		0	
ARE	Alexandria RE	REITS	FINANCIALS	6.0%	$60,000	56.86	2/10/2026	47.26	47.81	15.09		9549.771368	0.1591628561		ACTIVE	Office REIT rate sensitivity					
UNH	UnitedHealth	INSURERS	HEALTHCARE	8.0%	$80,000	273.22	2/10/2026	9.69	307.25	47.48		-9964.131469	-0.1245516434		CLOSED	Policy uncertainty, pricing pressure - DM < 10					
DXCM	DexCom	MEDTECH	HEALTHCARE	7.0%	$70,000	68.16	2/10/2026	43.35	62.6	22.14		5710.093897	0.08157276995		ACTIVE	CGM commoditization					
LDOS	Leidos	DEFENSE_TECH	GOVT_DEFENSE	5.0%	$50,000	194.72	2/10/2026	28.03	153.2	4.08		10661.46261	0.2132292523		ACTIVE	DOGE budget cuts					
BAH	Booz Allen	DEFENSE_TECH	GOVT_DEFENSE	5.0%	$50,000	89.95	2/10/2026	50	81	50		4974.986103	0.09949972207		ACTIVE	Govt consulting reduced					
BLDR	Builders First	HOUSING_PRODUCTS	INDUSTRIALS	5.0%	$50,000	128.42	2/10/2026	36.86	89.76	35.38		15052.17256	0.3010434512		ACTIVE	Housing cooling					
SHW	Sherwin-Williams	HOUSING_PRODUCTS	INDUSTRIALS	5.0%	$50,000	364.65	2/10/2026	34.98	343.93	48.86		2841.080488	0.05682160976		CLOSED	Paint demand softening	T2_PHASE_CONFIRM	2026-04-21		0	
COIN	COIN	FINTECH	FINANCIALS	0.04375	62727	169.02	2026-04-10	5.08	195.9	3.21		-9975.752929	-0.1590344338		CLOSED	Financials & Wealth/FINTECH — auto-entry	T3_LOSS_LIMIT	2026-04-15	1	1	
VRSK	VRSK	FINTECH	FINANCIALS	0.04375	62727	169.41	2026-04-10	8.1	182.09	6.49		-4694.990614	-0.07484800189		ACTIVE	Financials & Wealth/FINTECH — auto-entry			1	0	
CSGP	CSGP	TOOLS	AI_TRANSFORMATION	0.04375	62727	37.32	2026-04-10	5.98	38.91	7.05		-2672.452572	-0.04260450161		ACTIVE	AI Transformation/TOOLS — auto-entry			1	0	
PAYC	PAYC	TOOLS	AI_TRANSFORMATION	0.04375	61399	113.59	2026-04-11	7.21	132.98	16.33		-10480.91038	-0.1707016463		CLOSED	AI Transformation/TOOLS — auto-entry	T3_LOSS_LIMIT	2026-04-20	1	1	
MOS	MOS	MATERIALS	ENERGY_COMMODITIES	0.04375	62238	23.73	2026-04-16	7.87	24.2	11.58		-1232.695322	-0.01980615255		ACTIVE	Energy & Commodities/MATERIALS — auto-entry			1	0	
MSI	MSI	GOVT_IT	GOVT_DEFENSE	0.04375	62238	440.21	2026-04-16	7.43	445.48	5.26		-745.0858908	-0.01197155903		ACTIVE	Govt & Defense/GOVT_IT — auto-entry			1	0	
CF	CF	MATERIALS	ENERGY_COMMODITIES	0.04375	63328	115.94	2026-04-21	7.67	121.31	7.67		-2933.16681	-0.04631706055		ACTIVE	Energy & Commodities/MATERIALS — auto-entry			1	0	
KR	KR	RETAIL_DEPT	CONSUMER	0.04375	63328	67.89	2026-04-21	4.85	68.81	4.85		-858.1788187	-0.01355133304		ACTIVE	Consumer/RETAIL_DEPT — auto-entry			1	0	
